what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.core,5.2.1.201009241320,"org.eclipse.cdt.core",1295648124687
started,bundle,org.eclipse.cdt.core.tests,5.2.1.201009241320,"org.eclipse.cdt.core.tests",1295648124687
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009241320,"org.eclipse.cdt.make.core",1295648124687
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009241320,"org.eclipse.cdt.make.ui",1295648124687
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009241320,"org.eclipse.cdt.managedbuilder.core",1295648124687
started,bundle,org.eclipse.cdt.scripting,1.0.0.201009241320,"org.eclipse.cdt.scripting",1295648124687
started,bundle,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui",1295648124687
started,bundle,org.eclipse.cdt.ui.tests,5.1.0.201009241320,"org.eclipse.cdt.ui.tests",1295648124687
os,sysinfo,,,"win32",1295648124687
arch,sysinfo,,,"x86",1295648124687
ws,sysinfo,,,"win32",1295648124687
locale,sysinfo,,,"en_US",1295648124687
processors,sysinfo,,,"2",1295648124687
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295648124687
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1295648124687
java.specification.name,sysinfo,,,"Java Platform API Specification",1295648124687
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295648124687
java.specification.version,sysinfo,,,"1.6",1295648124687
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295648124687
java.version,sysinfo,,,"1.6.0_22",1295648124687
java.vm.info,sysinfo,,,"mixed mode, sharing",1295648124687
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295648124687
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295648124687
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295648124687
java.vm.specification.version,sysinfo,,,"1.0",1295648124687
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295648124687
java.vm.version,sysinfo,,,"17.1-b03",1295648124687
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009241320,"org.eclipse.cdt.managedbuilder.ui",1295648128250
started,bundle,org.eclipse.cdt.managedbuilder.core.tests,7.0.0.201009241320,"org.eclipse.cdt.managedbuilder.core.tests",1295648128406
started,bundle,org.eclipse.cdt.core.lrparser,5.1.0.201009241320,"org.eclipse.cdt.core.lrparser",1295648128515
started,bundle,org.eclipse.cdt.core.lrparser.xlc,1.0.0.201009241320,"org.eclipse.cdt.core.lrparser.xlc",1295648128515
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009241320,"org.eclipse.cdt.managedbuilder.gnu.ui",1295648128703
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201009241320,"org.eclipse.cdt.build.crossgcc",1295648128781
started,bundle,org.eclipse.cdt.managedbuilder.ui.tests,7.0.0.201009241320,"org.eclipse.cdt.managedbuilder.ui.tests",1295648128953
started,bundle,org.eclipse.cdt.managedbuilder.xlc.ui,6.1.0.201009241320,"org.eclipse.cdt.managedbuilder.xlc.ui",1295648128968
started,bundle,org.eclipse.cdt.managedbuilder.xlupc.ui,1.1.0.201009241320,"org.eclipse.cdt.managedbuilder.xlupc.ui",1295648128968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648129000
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1295648138390
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1295648138500
started,bundle,org.eclipse.cdt.make.xlc.core,5.0.0.201009241320,"org.eclipse.cdt.make.xlc.core",1295648138531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648138921
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1295648139312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648143453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648146468
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1295648146562
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1295648147203
opened,editor,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui.editor.CEditor",1295648147234
activated,editor,org.eclipse.cdt.ui,5.2.1.201009241320,"org.eclipse.cdt.ui.editor.CEditor",1295648147359
started,bundle,org.eclipse.cdt.codan.ui,1.0.0.201009241320,"org.eclipse.cdt.codan.ui",1295648147671
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201009241320,"org.eclipse.cdt.codan.checkers",1295648147687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1295648148390
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201009241320,"org.eclipse.cdt.codan.checkers.ui",1295648154703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1295648159921
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1295648160968
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009241320,"org.eclipse.cdt.debug.core",1295648161000
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009241320,"org.eclipse.cdt.debug.ui",1295648161000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648161015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648161109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648161109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648162000
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1295648162015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648164140
started,bundle,org.eclipse.cdt.launch,6.1.0.201009241320,"org.eclipse.cdt.launch",1295648166421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648181281
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1295648181296
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1295648182828
error,log,,,"A program file was not specified in the launch configuration.",1295648182953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648182968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648185890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648187546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648197156
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1295648197171
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1295648198953
error,log,,,"Error starting process.",1295648199078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648199078
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648202093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648204468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648239390
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1295648239406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648241843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295648285562
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1295648309765
